name,abbr,country
"Alabama","AL","USA"
"Alaska","AK","USA"
"Arizona","AZ","USA"
"Arkansas","AR","USA"
"California","CA","USA"
"Colorado","CO","USA"
"Connecticut","CT","USA"
"Delaware","DE","USA"
"Florida","FL","USA"
"Georgia","GA","USA"
"Hawaii","HI","USA"
"Idaho","ID","USA"
"Illinois","IL","USA"
"Indiana","IN","USA"
"Iowa","IA","USA"
"Kansas","KS","USA"
"Kentucky","KY","USA"
"Louisiana","LA","USA"
"Maine","ME","USA"
"Maryland","MD","USA"
"Massachusetts","MA","USA"
"Michigan","MI","USA"
"Minnesota","MN","USA"
"Mississippi","MS","USA"
"Missouri","MO","USA"
"Montana","MT","USA"
"Nebraska","NE","USA"
"Nevada","NV","USA"
"New Hampshire","NH","USA"
"New Jersey","NJ","USA"
"New Mexico","NM","USA"
"New York","NY","USA"
"North Carolina","NC","USA"
"North Dakota","ND","USA"
"Ohio","OH","USA"
"Oklahoma","OK","USA"
"Oregon","OR","USA"
"Pennsylvania","PA","USA"
"Rhode Island","RI","USA"
"South Carolina","SC","USA"
"South Dakota","SD","USA"
"Tennessee","TN","USA"
"Texas","TX","USA"
"Utah","UT","USA"
"Vermont","VT","USA"
"Virginia","VA","USA"
"Washington","WA","USA"
"West Virginia","WV","USA"
"Wisconsin","WI","USA"
"Wyoming","WY","USA"
"Washington DC","DC","USA"
"Puerto Rico","PR","USA"
"U.S. Virgin Islands","VI","USA"
"American Samoa","AS","USA"
"Guam","GU","USA"
"Northern Mariana Islands","MP","USA"
"Alberta","AB","Canada"
"British Columbia","BC","Canada"
"Manitoba","MB","Canada"
"New Brunswick","NB","Canada"
"Newfoundland and Labrador","NL","Canada"
"Nova Scotia","NS","Canada"
"Ontario","ON","Canada"
"Prince Edward Island","PE","Canada"
"Quebec","QC","Canada"
"Saskatchewan","SK","Canada"
"Northwest Territories","NT","Canada"
"Nunavut","NU","Canada"
"Yukon Territory","YT","Canada"
